127.0.0.1 - - [02/May/2018:14:20:10 +0800] "GET / HTTP/1.1" 200 3715
192.168.1.174 - - [02/May/2018:14:20:26 +0800] "GET / HTTP/1.1" 200 3715
192.168.1.174 - - [02/May/2018:14:20:26 +0800] "GET /css/common.css HTTP/1.1" 200 2512
192.168.1.174 - - [02/May/2018:14:20:26 +0800] "GET /css/work.css HTTP/1.1" 200 3067
192.168.1.174 - - [02/May/2018:14:20:27 +0800] "GET /images/login-logo.png HTTP/1.1" 200 33528
192.168.1.174 - - [02/May/2018:14:20:27 +0800] "GET /js/easyUI/jquery.min.js HTTP/1.1" 200 95790
192.168.1.174 - - [02/May/2018:14:20:27 +0800] "GET /images/btn-bg.png HTTP/1.1" 200 1908
192.168.1.174 - - [02/May/2018:14:20:27 +0800] "GET /images/work-icon.png HTTP/1.1" 200 2606
192.168.1.174 - - [02/May/2018:14:20:27 +0800] "GET /images/login-bg.jpg HTTP/1.1" 200 844895
192.168.1.174 - - [02/May/2018:14:20:27 +0800] "GET /user/validateCode.do HTTP/1.1" 200 1582
192.168.1.174 - - [02/May/2018:14:20:27 +0800] "GET /favicon.ico HTTP/1.1" 200 94392
192.168.1.174 - - [02/May/2018:14:20:40 +0800] "POST /user/checkCode.do HTTP/1.1" 200 22
192.168.1.174 - - [02/May/2018:14:20:40 +0800] "POST /user/checkCode.do HTTP/1.1" 200 22
192.168.1.174 - - [02/May/2018:14:20:41 +0800] "POST /user/doLoginUser.do HTTP/1.1" 200 16527
192.168.1.174 - - [02/May/2018:14:20:41 +0800] "POST /user/doLoginUser.do HTTP/1.1" 200 16527
192.168.1.174 - - [02/May/2018:14:20:41 +0800] "GET /js/easyUI/themes/icon.css HTTP/1.1" 200 2430
192.168.1.174 - - [02/May/2018:14:20:41 +0800] "GET /js/easyUI/validatebox.js HTTP/1.1" 200 10327
192.168.1.174 - - [02/May/2018:14:20:41 +0800] "GET /js/easyUI/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
192.168.1.174 - - [02/May/2018:14:20:41 +0800] "GET /js/easyUI/themes/default/easyui.css HTTP/1.1" 200 54600
